Country, State, Cropland SOCref (t C ha-1), FLU, FMG Full, FMG Reduced, FMG No-till, FI Low, FI High without manure, FI High with manure
Indonesia, Aceh, 54.08, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Bali, 143.90, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Bangka-Belitung, 196.15, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Bengkulu, 131.30, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Banten, 45.73, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Gorontalo, 46.04, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Irian Jaya Barat, 86.38, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Jambi, 234.63, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Jawa Timur, 67.07, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Jakarta Raya, 47.24, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Jawa Barat, 67.76, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Jawa Tengah, 67.67, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Kalimantan Barat, 214.68, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Kalimantan Timur, 92.48, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Kepulauan Riau, 79.08, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Kalimantan Selatan, 194.33, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Kalimantan Tengah, 101.53, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Lampung, 83.32, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Maluku, 62.96, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Maluku Utara, 53.49, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Nusa Tenggara Barat, 74.88, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Nusa Tenggara Timur, 99.58, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Papua, 594.36, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Riau, 452.19, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sumatera Barat, 259.76, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sulawesi Selatan, 44.78, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sulawesi Tenggara, 47.18, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sumatera Selatan, 240.03, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sulawesi Barat, 51.28, 0.64, 1.00, 1.09, 1.16, 0.94, 1.08, 1.41
Indonesia, Sulawesi Tengah, 50.70, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sumatera Utara, 136.92, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Sulawesi Utara, 57.07, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Indonesia, Yogyakarta, 52.15, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Cambodia, Batdâmbâng, 40.41, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Cambodia, Krong Preah Sihanouk, 43.79, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Cambodia, Kep, 40.34, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Cambodia, Kâmpóng Chhnang, 33.00, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
Cambodia, Krâchéh, 37.68, 0.48, 1.00, 1.15, 1.22, 0.92, 1.11, 1.44
